target_stock,week_t,predictor,beta
10104,2017-04-03,15315_RLag0,-0.00503647799013987
10104,2017-04-03,56274_RLag0,-0.009100755008863887
10104,2017-04-03,77129_RLag0,-0.024482173987242728
10104,2017-04-03,81593_RLag0,-0.013910907675442225
10104,2017-04-03,90455_RLag0,-0.005790121319922185
10104,2017-04-03,19350_RLag1,0.013506854498476646
10104,2017-04-03,89244_RLag1,0.03450418105418055
10104,2017-04-03,46674_RLag2,-0.13017075434259487
10104,2017-04-03,76605_RLag2,-0.07145014908601009
10104,2017-04-03,89269_RLag2,5.739707594908195e-5
10104,2017-04-03,91849_RLag2,0.18568039554916624
10104,2017-04-17,81593_RLag0,-0.008073929459529575
10104,2017-04-17,89244_RLag1,0.023666946102293685
10104,2017-04-17,46674_RLag2,-0.17636453115829626
10104,2017-04-17,91849_RLag2,0.14966567128271613
10104,2017-05-01,27991_RLag0,-0.16242730561690052
10104,2017-05-01,32986_RLag0,-0.034111363185042494
10104,2017-05-01,46674_RLag2,-0.00724089155392725
10104,2018-01-15,17478_RLag0,0.06374892477622306
10104,2018-01-15,61241_RLag0,0.021505276177026206
10104,2018-01-15,14338_RLag2,-0.11710574767523337
10104,2018-01-15,64936_RLag2,-0.0768901322706214
10104,2018-01-15,Topic_49_TLag1,0.7146270459742022
10104,2018-01-15,Topic_26_TLag2,-0.11118074409822287
10104,2018-01-15,Topic_60_TLag2,-2.746102372049846
10104,2018-10-08,42585_RLag0,0.03541340439782071
10104,2018-10-08,53065_RLag0,-0.010657780391688
10104,2018-10-08,69796_RLag0,-0.011367124785430359
10104,2018-10-08,82621_RLag0,0.03892757036133856
10104,2018-10-08,90248_RLag0,-0.015272972716358078
10104,2018-10-08,11404_RLag1,0.06344471382757312
10104,2018-10-08,15486_RLag1,-0.009858870159571613
10104,2018-10-08,21792_RLag1,6.001228159705772e-4
10104,2018-10-08,24053_RLag1,0.32519621720470643
10104,2018-10-08,32870_RLag1,0.08047103123406134
10104,2018-10-08,60871_RLag1,-0.015085302238146822
10104,2018-10-08,82307_RLag1,-0.07038769135481712
10104,2018-10-08,87657_RLag1,-0.0033578166406549453
10104,2018-10-08,77661_RLag2,-0.0025330315648484703
10104,2018-10-08,80320_RLag2,0.025182806620911453
10104,2018-10-08,85072_RLag2,-0.08894305932774063
10104,2018-10-08,87055_RLag2,0.031848814676857115
10104,2018-10-08,Topic_30_TLag0,-1.164415824433925
