target_stock,week_t,week_pred,forecast,intercept,lambda,n_active
10104,2016-08-01,2016-08-08,0.006695403885392715,0.006695403885392715,0.012535924708212676,0
10104,2016-08-08,2016-08-15,0.006217657840561993,0.006217657840561993,0.011936525550317698,0
10104,2016-08-15,2016-08-22,0.004722911042433176,0.004722911042433176,0.011133454236051991,0
10104,2016-08-22,2016-08-29,0.005274813323794725,0.005274813323794725,0.011600875263057447,0
10104,2016-08-29,2016-09-05,0.004438325371735445,0.004438325371735445,0.012917320363876675,0
10104,2016-09-05,2016-09-12,0.0023510230101111934,0.0023510230101111934,0.013531056251586572,0
10104,2016-09-12,2016-09-19,0.0024533813692863594,0.0024533813692863594,0.013248082739371551,0
10104,2016-09-19,2016-09-26,0.0016571008812364804,0.0016571008812364804,0.012863531281061182,0
10104,2016-09-26,2016-10-03,3.6818618918100805e-4,3.6818618918100805e-4,0.011110590603549105,0
10104,2016-10-03,2016-10-10,-0.0020553642865982855,-0.0020553642865982855,0.009127232077865508,0
10104,2016-10-10,2016-10-17,-0.0020620928294514005,-0.0020620928294514005,0.008962381579268309,0
10104,2016-10-17,2016-10-24,-0.0020057171322181025,-0.0020057171322181025,0.00906015674124653,0
10104,2016-10-24,2016-10-31,-0.0012617254633595714,-0.0012617254633595714,0.008817650152808382,0
10104,2016-10-31,2016-11-07,-9.137730047183837e-4,-9.137730047183837e-4,0.009461530578754278,0
10104,2016-11-07,2016-11-14,-3.0726113338654516e-4,-3.0726113338654516e-4,0.010009703471847821,0
10104,2016-11-14,2016-11-21,7.235396905109364e-4,7.235396905109364e-4,0.008435446846902193,0
10104,2016-11-21,2016-11-28,-3.652542742213789e-4,-3.652542742213789e-4,0.010492364936103137,0
10104,2016-11-28,2016-12-05,0.0012145101856792296,0.0012145101856792296,0.012432847157412849,0
10104,2016-12-05,2016-12-12,2.1465506434330153e-4,2.1465506434330153e-4,0.012501857820146881,0
10104,2016-12-12,2016-12-19,-6.163857928206028e-4,-6.163857928206028e-4,0.012822080665183743,0
10104,2016-12-19,2016-12-26,-9.308314741206193e-5,-9.308314741206193e-5,0.012630778646818365,0
10104,2016-12-26,2017-01-02,3.4352182672994563e-4,3.4352182672994563e-4,0.012863224297403232,0
10104,2017-01-02,2017-01-09,2.3691788345509002e-4,2.3691788345509002e-4,0.013046834314133593,0
10104,2017-01-09,2017-01-16,0.0011328641782967037,0.0011328641782967037,0.01320304568193334,0
10104,2017-01-16,2017-01-23,-7.857170376367401e-5,-7.857170376367401e-5,0.012490043171121472,0
10104,2017-01-23,2017-01-30,7.899660393387862e-5,7.899660393387862e-5,0.01253856312514845,0
10104,2017-01-30,2017-02-06,-3.582498893621388e-4,-3.582498893621388e-4,0.012168466817076723,0
10104,2017-02-06,2017-02-13,0.0012302533949040497,0.0012302533949040497,0.012667914920158133,0
10104,2017-02-13,2017-02-20,0.002142444406225814,0.002142444406225814,0.012480081408272312,0
10104,2017-02-20,2017-02-27,0.0016987649873031322,0.0016987649873031322,0.012554608853213477,0
10104,2017-02-27,2017-03-06,0.0017234000481074,0.0017234000481074,0.012448598570409967,0
10104,2017-03-06,2017-03-13,0.003864208732054319,0.003864208732054319,0.014800274583354367,0
10104,2017-03-13,2017-03-20,0.0031752642735728273,0.0031752642735728273,0.014837459968496551,0
10104,2017-03-20,2017-03-27,0.0031534767126295627,0.0031534767126295627,0.014680213410303048,0
10104,2017-03-27,2017-04-03,0.0039002113011127474,0.0039002113011127474,0.014224401824019017,0
10104,2017-04-03,2017-04-10,0.004023478035886472,0.003323031205307055,0.00676499677572459,11
10104,2017-04-10,2017-04-17,0.0048095357921746984,0.0048095357921746984,0.01364076934901438,0
10104,2017-04-17,2017-04-24,0.007557599041917844,0.004340649769417514,0.008358988827000764,4
10104,2017-04-24,2017-05-01,0.005980788752523839,0.005980788752523839,0.014602996793347825,0
10104,2017-05-01,2017-05-08,0.006653068693627013,0.007056820032218147,0.013238574860014882,3
10104,2017-05-08,2017-05-15,0.005720721745631614,0.005720721745631614,0.015251495065088706,0
10104,2017-05-15,2017-05-22,0.006224408444228588,0.006224408444228588,0.015455308539390734,0
10104,2017-05-22,2017-05-29,0.0064229329462987365,0.0064229329462987365,0.014452226985316254,0
10104,2017-05-29,2017-06-05,0.0049441878821890745,0.0049441878821890745,0.014318951298082526,0
10104,2017-06-05,2017-06-12,0.004642174920672102,0.004642174920672102,0.013796893899813157,0
10104,2017-06-12,2017-06-19,0.008631366626300147,0.008631366626300147,0.023081987450581588,0
10104,2017-06-19,2017-06-26,0.009566591477477047,0.009566591477477047,0.022693631397029523,0
10104,2017-06-26,2017-07-03,0.007292511921260144,0.007292511921260144,0.02291583311738518,0
10104,2017-07-03,2017-07-10,0.009277964538332632,0.009277964538332632,0.02183227635948715,0
10104,2017-07-10,2017-07-17,0.009835118886861137,0.009835118886861137,0.021590572512542084,0
10104,2017-07-17,2017-07-24,0.009790706297493857,0.009790706297493857,0.021944378462025665,0
10104,2017-07-24,2017-07-31,0.009435637246512365,0.009435637246512365,0.02215215931042527,0
10104,2017-07-31,2017-08-07,0.007585867333270355,0.007585867333270355,0.02210210815059807,0
10104,2017-08-07,2017-08-14,0.007330548540516709,0.007330548540516709,0.022454352408771232,0
10104,2017-08-14,2017-08-21,0.007454604084953838,0.007454604084953838,0.022496981477481144,0
10104,2017-08-21,2017-08-28,0.0082230946760167,0.0082230946760167,0.02280684733357677,0
10104,2017-08-28,2017-09-04,0.00855844910337102,0.00855844910337102,0.022448424208791146,0
