target_stock,week_t,week_pred,forecast,intercept,lambda,n_active
10107,2016-12-12,2016-12-19,0.006958322825879789,0.006958322825879789,0.01124153937460302,0
10107,2016-12-19,2016-12-26,0.0067161441787434994,0.0067161441787434994,0.011395208909340027,0
10107,2016-12-26,2017-01-02,0.007291223076814927,0.007291223076814927,0.011547459425701982,0
10107,2017-01-02,2017-01-09,0.008091133720795892,0.008091133720795892,0.009955541337666487,0
10107,2017-01-09,2017-01-16,0.008311869633678044,0.008311869633678044,0.009526542487164393,0
10107,2017-01-16,2017-01-23,0.00903733626707624,0.00903733626707624,0.010339441515409015,0
10107,2017-01-23,2017-01-30,0.007230393282917943,0.007230393282917943,0.010208406567452,0
10107,2017-01-30,2017-02-06,0.006505591295520275,0.006505591295520275,0.010218462174237154,0
10107,2017-02-06,2017-02-13,0.005250290647096194,0.005250290647096194,0.010864644463148807,0
10107,2017-02-13,2017-02-20,0.0051854450937457,0.0051854450937457,0.010881739747756896,0
10107,2017-02-20,2017-02-27,0.00424183152225579,0.00424183152225579,0.01077296426560319,0
10107,2017-02-27,2017-03-06,0.00460612793780197,0.00460612793780197,0.010671939505120225,0
10107,2017-03-06,2017-03-13,0.004551678263244771,0.004551678263244771,0.010731212264094209,0
10107,2017-03-13,2017-03-20,0.00437107186225163,0.00437107186225163,0.01076981244379293,0
10107,2017-03-20,2017-03-27,0.00502933964654421,0.00502933964654421,0.012199615279763798,0
10107,2017-03-27,2017-04-03,0.005782095873054331,0.005782095873054331,0.010948759865225343,0
10107,2017-04-03,2017-04-10,0.004794868980439489,0.004794868980439489,0.01078431187689055,0
10107,2017-04-10,2017-04-17,0.005434246374741192,0.005434246374741192,0.011175481233992026,0
10107,2017-04-17,2017-04-24,0.006369748498752204,0.006369748498752204,0.010635605984376554,0
10107,2017-04-24,2017-05-01,0.006516912198615469,0.006516912198615469,0.010645716000897856,0
10107,2017-05-01,2017-05-08,0.0064365493359899275,0.0064365493359899275,0.010642951389899234,0
10107,2017-05-08,2017-05-15,0.004985237701276983,0.004985237701276983,0.009468341138588193,0
10107,2017-05-15,2017-05-22,0.005985770318525274,0.005985770318525274,0.009242027371048664,0
10107,2017-05-22,2017-05-29,0.007489271679878211,0.007489271679878211,0.009133086402208565,0
10107,2017-05-29,2017-06-05,0.006644333237707438,0.006644333237707438,0.009529766824361807,0
10107,2017-06-05,2017-06-12,0.005515664666836232,0.005515664666836232,0.010116220661721069,0
10107,2017-06-12,2017-06-19,0.005992435002563249,0.005992435002563249,0.010656944274408425,0
10107,2017-06-19,2017-06-26,0.005630062882622081,0.005630062882622081,0.01063971105499781,0
10107,2017-06-26,2017-07-03,0.004356131054502898,0.004356131054502898,0.010370365861713882,0
10107,2017-07-03,2017-07-10,0.005771846628041866,0.005771846628041866,0.010548356804099969,0
10107,2017-07-10,2017-07-17,0.005731457146990482,0.005731457146990482,0.01148109509611626,0
10107,2017-07-17,2017-07-24,0.005972492540916001,0.005972492540916001,0.01243863732066369,0
10107,2017-07-24,2017-07-31,0.005432677651501971,0.005432677651501971,0.012133166774245531,0
10107,2017-07-31,2017-08-07,0.005424423415753025,0.005424423415753025,0.011235278660475218,0
10107,2017-08-07,2017-08-14,0.00557607032770477,0.00557607032770477,0.01044758977246686,0
10107,2017-08-14,2017-08-21,0.004112673875285951,0.004112673875285951,0.009111127236961728,0
10107,2017-08-21,2017-08-28,0.005689539315577115,0.005689539315577115,0.00951968895464611,0
10107,2017-08-28,2017-09-04,0.0055400610062245614,0.0055400610062245614,0.01029306661184606,0
10107,2017-09-04,2017-09-11,0.0056131107982765665,0.0056131107982765665,0.009986196048253957,0
10107,2017-09-11,2017-09-18,0.005214738906292116,0.005214738906292116,0.009362918279872963,0
10107,2017-09-18,2017-09-25,0.0054414062482661014,0.0054414062482661014,0.009210663754266825,0
10107,2017-09-25,2017-10-02,0.005764319572457622,0.005764319572457622,0.009515415747368486,0
10107,2017-10-02,2017-10-09,0.006448639025788329,0.006448639025788329,0.009849946119612738,0
10107,2017-10-09,2017-10-16,0.0069599258310502335,0.0069599258310502335,0.009383132661561485,0
10107,2017-10-16,2017-10-23,0.008623257174082053,0.008623257174082053,0.012880641206250498,0
10107,2017-10-23,2017-10-30,0.008845640653159612,0.008845640653159612,0.012739785082062426,0
10107,2017-10-30,2017-11-06,0.009109175991794068,0.009109175991794068,0.012868478559481526,0
10107,2017-11-06,2017-11-13,0.007946556746412266,0.007946556746412266,0.013073750076606647,0
10107,2017-11-13,2017-11-20,0.0072603420345978414,0.0072603420345978414,0.013205778753109946,0
10107,2017-11-20,2017-11-27,0.007397765714623691,0.007397765714623691,0.013000265917440692,0
10107,2017-11-27,2017-12-04,0.007657754555110323,0.007657754555110323,0.013021525834146492,0
10107,2017-12-04,2017-12-11,0.008874142766808524,0.008874142766808524,0.012751388571283143,0
10107,2017-12-11,2017-12-18,0.007241986202618441,0.007241986202618441,0.013175456059658624,0
10107,2017-12-18,2017-12-25,0.006396070680391042,0.006396070680391042,0.012738341801509054,0
10107,2017-12-25,2018-01-01,0.008097652020027053,0.008097652020027053,0.011677504364068735,0
10107,2018-01-01,2018-01-08,0.00878223874892008,0.00878223874892008,0.011334158993421373,0
10107,2018-01-08,2018-01-15,0.00835483173241951,0.00835483173241951,0.011286748802163122,0
10107,2018-01-15,2018-01-22,0.010925769233231197,0.010925769233231197,0.010471796055866898,0
10107,2018-01-22,2018-01-29,0.009861521441723295,0.009861521441723295,0.011127759151976405,0
10107,2018-01-29,2018-02-05,0.006960799384668977,0.006960799384668977,0.012369892148612453,0
10107,2018-02-05,2018-02-12,0.008103080370956531,0.008103080370956531,0.012110458631175637,0
10107,2018-02-12,2018-02-19,0.009188256670585903,0.009188256670585903,0.012321654413523259,0
10107,2018-02-19,2018-02-26,0.008994612738426323,0.008994612738426323,0.01279261699019388,0
10107,2018-02-26,2018-03-05,0.010327422435265039,0.010327422435265039,0.013605499262399033,0
10107,2018-03-05,2018-03-12,0.009484619973625045,0.009484619973625045,0.014159902715851571,0
10107,2018-03-12,2018-03-19,0.004661336995419724,0.0064797976991807305,0.018897845272390083,1
10107,2018-03-19,2018-03-26,0.00776948552941867,0.00776948552941867,0.019191750909948287,0
10107,2018-03-26,2018-04-02,0.007371653441473384,0.007371653441473384,0.019477908839018072,0
10107,2018-04-02,2018-04-09,0.007825278178923164,0.007825278178923164,0.019713337563602978,0
10107,2018-04-09,2018-04-16,0.008911206868826597,0.008911206868826597,0.01970906070269342,0
10107,2018-04-16,2018-04-23,0.009163117280275206,0.009163117280275206,0.01955752872528452,0
10107,2018-04-23,2018-04-30,0.01131488667326049,0.011104792509922332,0.013694796831673047,2
10107,2018-04-30,2018-05-07,0.019571114867498872,0.019438578367919693,0.0049702178373665406,13
10107,2018-05-07,2018-05-14,-0.006722433789026728,0.019548927819457662,0.006286026234293703,11
10107,2018-05-14,2018-05-21,0.006188153795534626,0.006188153795534626,0.016434200859982408,0
10107,2018-05-21,2018-05-28,0.006880390836275355,0.006880390836275355,0.01620726018633004,0
10107,2018-05-28,2018-06-04,0.007265199858261233,0.007265199858261233,0.01659733463135763,0
10107,2018-06-04,2018-06-11,0.007191680391227906,0.007191680391227906,0.017262165059489135,0
10107,2018-06-11,2018-06-18,0.006936983151045916,0.006936983151045916,0.01696689045458029,0
10107,2018-06-18,2018-06-25,0.005939100036137823,0.005939100036137823,0.017531871963745085,0
10107,2018-06-25,2018-07-02,0.00684062164604368,0.00684062164604368,0.017561895376268545,0
10107,2018-07-02,2018-07-09,0.007182190644358913,0.007182190644358913,0.016503448200549747,0
10107,2018-07-09,2018-07-16,0.007962089879030089,0.007962089879030089,0.016562835044464593,0
10107,2018-07-16,2018-07-23,0.00839263548384445,0.00839263548384445,0.016520719747560687,0
10107,2018-07-23,2018-07-30,0.007471434763737602,0.007471434763737602,0.016582509573106405,0
10107,2018-07-30,2018-08-06,0.007234715542812505,0.007234715542812505,0.01650795585295425,0
10107,2018-08-06,2018-08-13,0.006780017580528175,0.006780017580528175,0.01633763930723335,0
10107,2018-08-13,2018-08-20,0.005530408580252289,0.005530408580252289,0.017140429566397945,0
10107,2018-08-20,2018-08-27,0.00754685204575715,0.00754685204575715,0.01784109915355453,0
10107,2018-08-27,2018-09-03,0.007631725025036884,0.007631725025036884,0.018907873273807524,0
10107,2018-09-03,2018-09-10,0.007616364656074034,0.007616364656074034,0.018397671617529764,0
10107,2018-09-10,2018-09-17,0.007131709553842222,0.007131709553842222,0.018027230419583592,0
10107,2018-09-17,2018-09-24,0.007521699586263043,0.007521699586263043,0.01773255022619348,0
10107,2018-09-24,2018-10-01,0.0056185633933736965,0.0056185633933736965,0.01781211828283423,0
10107,2018-10-01,2018-10-08,0.00552744400454004,0.00552744400454004,0.01802747336608602,0
10107,2018-10-08,2018-10-15,0.007062500606128483,0.010267446392372693,0.01144379641516166,2
10107,2018-10-15,2018-10-22,0.0010819309955784097,0.007279840409248278,0.010419276718461925,3
10107,2018-10-22,2018-10-29,0.005910355880821683,0.005910355880821683,0.013212734660063336,0
10107,2018-10-29,2018-11-05,0.005928158118276823,0.005928158118276823,0.01243026380140594,0
10107,2018-11-05,2018-11-12,0.0034948818592343985,0.0014406490651227254,0.010234893826561238,3
10107,2018-11-12,2018-11-19,0.0031010692989738684,0.0031010692989738684,0.0135129639692271,0
10107,2018-11-19,2018-11-26,0.005859680607429014,0.005859680607429014,0.014433054983822188,0
10107,2018-11-26,2018-12-03,0.003145368305103602,0.003145368305103602,0.014501886290186297,0
10107,2018-12-03,2018-12-10,0.0038452310320240208,0.0038452310320240208,0.01320054466052801,0
10107,2018-12-10,2018-12-17,7.013202768478164e-4,7.013202768478164e-4,0.01645656751274189,0
10107,2018-12-17,2018-12-24,6.107899054963971e-4,6.107899054963971e-4,0.016666256957635423,0
10107,2018-12-24,2018-12-31,8.44292928442895e-4,8.44292928442895e-4,0.01701328314593311,0
10107,2018-12-31,2019-01-07,0.001620784259009093,0.001620784259009093,0.017006905354664204,0
10107,2019-01-07,2019-01-14,0.003119602125609618,0.003119602125609618,0.016042568858415547,0
10107,2019-01-14,2019-01-21,0.0035500574068098884,0.0035500574068098884,0.015295476989719161,0
10107,2019-01-21,2019-01-28,0.0013226543494796014,0.0013226543494796014,0.01550657609878653,0
10107,2019-01-28,2019-02-04,8.529153170486153e-4,8.529153170486153e-4,0.014917626600403607,0
10107,2019-02-04,2019-02-11,0.0013917365274302095,0.0013917365274302095,0.014601833487438034,0
10107,2019-02-11,2019-02-18,0.0019432484447251836,0.0019432484447251836,0.014856059172147551,0
10107,2019-02-18,2019-02-25,0.0023003928325841714,0.0023003928325841714,0.015091341144917647,0
10107,2019-02-25,2019-03-04,0.0014058627834021638,0.0014058627834021638,0.015587016461458889,0
10107,2019-03-04,2019-03-11,0.003340599035368275,0.003340599035368275,0.016689739133414806,0
10107,2019-03-11,2019-03-18,0.0034143470324315686,0.0034143470324315686,0.017240060173767308,0
10107,2019-03-18,2019-03-25,0.0024593497443491305,0.0024593497443491305,0.016787381721060732,0
10107,2019-03-25,2019-04-01,0.004233025345970173,0.004233025345970173,0.017059408299168185,0
10107,2019-04-01,2019-04-08,0.002938246954274575,0.002938246954274575,0.017690793804365425,0
10107,2019-04-08,2019-04-15,0.003343494577700372,0.003343494577700372,0.01756006244006707,0
10107,2019-04-15,2019-04-22,0.005073078079522294,0.005073078079522294,0.018940383658505373,0
10107,2019-04-22,2019-04-29,0.005471882588582119,0.005471882588582119,0.01856521487590951,0
10107,2019-04-29,2019-05-06,0.005775143024532729,0.005775143024532729,0.01790674018183891,0
10107,2019-05-06,2019-05-13,0.006421030569996137,0.006421030569996137,0.017641448346624258,0
10107,2019-05-13,2019-05-20,0.006466205887778043,0.006466205887778043,0.016859309599875125,0
10107,2019-05-20,2019-05-27,0.006039548492303656,0.006039548492303656,0.017932553341708707,0
10107,2019-05-27,2019-06-03,0.007049502471566612,0.007049502471566612,0.01713175059717044,0
10107,2019-06-03,2019-06-10,0.007560876851671146,0.007560876851671146,0.016964641973273492,0
10107,2019-06-10,2019-06-17,0.010305177963493211,0.010305177963493211,0.017412678951177738,0
10107,2019-06-17,2019-06-24,0.007043625741963548,0.007043625741963548,0.016814634726008228,0
10107,2019-06-24,2019-07-01,0.0096396006576779,0.0096396006576779,0.015681071333121115,0
10107,2019-07-01,2019-07-08,0.009702294720567195,0.009702294720567195,0.01568624002309872,0
10107,2019-07-08,2019-07-15,0.01160724671054526,0.01160724671054526,0.014593954678916487,0
10107,2019-07-15,2019-07-22,0.012025870080096077,0.012025870080096077,0.014873766618974214,0
10107,2019-07-22,2019-07-29,0.01046742895316841,0.01046742895316841,0.014755432587124194,0
10107,2019-07-29,2019-08-05,0.010380134111060155,0.010380134111060155,0.014819034909564209,0
10107,2019-08-05,2019-08-12,0.00851877408830332,0.00851877408830332,0.014749318402024047,0
10107,2019-08-12,2019-08-19,0.00801498495043916,0.00801498495043916,0.014833238150816252,0
10107,2019-08-19,2019-08-26,0.010497448616272321,0.010497448616272321,0.013246176558160622,0
10107,2019-08-26,2019-09-02,0.009860001149694472,0.009860001149694472,0.013071064489706309,0
10107,2019-09-02,2019-09-09,0.00862905031513396,0.00862905031513396,0.01325362018239496,0
10107,2019-09-09,2019-09-16,0.008149893488304971,0.008149893488304971,0.013665060329271707,0
10107,2019-09-16,2019-09-23,0.007272584254804156,0.007272584254804156,0.013749484927763792,0
10107,2019-09-23,2019-09-30,0.007965295922425845,0.007965295922425845,0.014515738370415322,0
10107,2019-09-30,2019-10-07,0.006961857648795905,0.00713008001232104,0.011231268885121626,4
10107,2019-10-07,2019-10-14,0.005843395513756199,0.005843395513756199,0.014756285685579002,0
