window_size,n_lags,lambda,r2_insample_stage1,r2_oos_stage1,r2_insample_stage2,r2_oos_stage2,kappa,kappa_tstat,intercept,intercept_tstat,n_observations,n_windows,n_oos_predictions_stage2
50,3,1e-06,0.9806382905714999,-0.6437227709565108,-1.6351734855035716e-08,-0.00040602635705888623,3.3368806805519457e-07,3.217155917891687e-05,0.00040618350005937136,3.4226291611369475,8386,8386,8285
120,3,1e-06,0.9925142072600625,-0.8202388526653099,-4.911885564951035e-09,-0.0004239445696689881,6.880800789944651e-08,7.39449445859282e-06,0.00041305303121457664,3.4569007909322846,8316,8316,8215
30,3,1e-06,0.965234941647744,-0.6390279588367063,-6.395373119971737e-11,-0.0004489390673734217,8.558604546329035e-10,8.110953924132466e-08,0.00040851287168773125,3.447961221911806,8406,8406,8305
80,3,1e-06,0.9885262710091791,-0.6587209792950637,-1.7221601922301488e-10,-0.000552790038859774,2.563188472794123e-08,2.5251548582075285e-06,0.00040538943628299967,3.4056921420618522,8356,8356,8255
