PERMNO,date,DIVAMT,RETX
10104,2019-09-03,,-0.003266
10104,2019-09-04,,0.020813
10104,2019-09-05,,0.016424
10104,2019-09-06,,-0.012630
10104,2019-09-09,,0.025959
10104,2019-09-10,,0.017052
10104,2019-09-11,,0.014783
10104,2019-09-12,,-0.042636
10104,2019-09-13,,-0.002598
10104,2019-09-16,,-0.011349
10104,2019-09-17,,-0.005081
10104,2019-09-18,,-0.005863
10104,2019-09-19,,0.015411
10104,2019-09-20,,0.001874
10104,2019-09-23,,0.010286
10104,2019-09-24,,-0.012403
10104,2019-09-25,,0.009185
10104,2019-09-26,,0.002229
10104,2019-09-27,,0.002409
10104,2019-09-30,,0.017378
10104,2019-10-01,,-0.022351
10104,2019-10-02,,-0.012082
10104,2019-10-03,,0.013358
10104,2019-10-04,,0.023765
10104,2019-10-07,,-0.006166
10104,2019-10-08,,-0.013686
10104,2019-10-09,0.24000,0.008881
10104,2019-10-10,,0.017605
10104,2019-10-11,,0.025230
10104,2019-10-14,,-0.007558
10104,2019-10-15,,-0.001948
10104,2019-10-16,,-0.008341
10104,2019-10-17,,-0.014674
10104,2019-10-18,,-0.009263
10104,2019-10-21,,0.010632
10104,2019-10-22,,-0.018502
10104,2019-10-23,,0.000370
10104,2019-10-24,,0.002402
10104,2019-10-25,,-0.001659
10104,2019-10-28,,0.008676
10104,2019-10-29,,0.002928
10104,2019-10-30,,0.000912
10104,2019-10-31,,-0.006563
10104,2019-11-01,,0.009359
10104,2019-11-04,,0.008182
10104,2019-11-05,,0.003967
10104,2019-11-06,,0.000539
10104,2019-11-07,,0.005027
10104,2019-11-08,,0.009110
10104,2019-11-11,,-0.001062
10104,2019-11-12,,0.002835
10104,2019-11-13,,-0.006715
10104,2019-11-14,,-0.002135
10104,2019-11-15,,0.005883
10104,2019-11-18,,-0.004077
10104,2019-11-19,,0.001424
10104,2019-11-20,,-0.000533
10104,2019-11-21,,-0.000178
10104,2019-11-22,,0.002845
10104,2019-11-25,,0.003015
10104,2019-11-26,,-0.000884
10104,2019-11-27,,0.001770
10104,2019-11-29,,-0.008302
10104,2019-12-02,,-0.012647
10104,2019-12-03,,-0.015154
10104,2019-12-04,,-0.003297
10104,2019-12-05,,0.004962
10104,2019-12-06,,0.002743
10104,2019-12-09,,0.008754
10104,2019-12-10,,0.009221
10104,2019-12-11,,0.008778
10104,2019-12-12,,0.002841
10104,2019-12-13,,-0.034709
10104,2019-12-16,,-0.009539
10104,2019-12-17,,-0.021300
10104,2019-12-18,,0.010409
10104,2019-12-19,,-0.002809
10104,2019-12-20,,0.006762
10104,2019-12-23,,0.002052
10104,2019-12-24,,-0.005027
10104,2019-12-26,,0.002433
10104,2019-12-27,,-0.002053
10104,2019-12-30,,-0.014216
10104,2019-12-31,,0.005313
10104,2020-01-02,,0.018309
10104,2020-01-03,,-0.003522
10104,2020-01-06,,0.005208
10104,2020-01-07,,0.002221
10104,2020-01-08,0.24000,-0.000554
10104,2020-01-09,,0.004619
10104,2020-01-10,,0.001287
10104,2020-01-13,,0.002388
10104,2020-01-14,,0.005497
10104,2020-01-15,,-0.002187
10104,2020-01-16,,0.012235
10104,2020-01-17,,-0.005412
10104,2020-01-21,,0.001633
10104,2020-01-22,,-0.009055
10104,2020-01-23,,0.004751
10104,2020-01-24,,-0.016551
10104,2020-01-27,,-0.025522
10104,2020-01-28,,0.014614
10104,2020-01-29,,-0.004863
10104,2020-01-30,,0.002068
10104,2020-01-31,,-0.016132
10104,2020-02-03,,0.012202
10104,2020-02-04,,0.017894
10104,2020-02-05,,0.012953
10104,2020-02-06,,-0.000548
10104,2020-02-07,,0.000183
10104,2020-02-10,,0.004934
10104,2020-02-11,,0.002910
10104,2020-02-12,,0.010517
10104,2020-02-13,,-0.007536
10104,2020-02-14,,0.002893
10104,2020-02-18,,-0.000361
10104,2020-02-19,,-0.000180
10104,2020-02-20,,0.001263
10104,2020-02-21,,-0.014952
10104,2020-02-24,,-0.037125
10104,2020-02-25,,-0.032099
10104,2020-02-26,,0.021389
10104,2020-02-27,,-0.024400
10104,2020-02-28,,-0.025994
10104,2020-03-02,,0.029114
10104,2020-03-03,,-0.040275
10104,2020-03-04,,0.034596
10104,2020-03-05,,-0.050257
10104,2020-03-06,,-0.013125
10104,2020-03-09,,-0.028710
10104,2020-03-10,,0.055858
10104,2020-03-11,,-0.079457
10104,2020-03-12,,-0.110018
10104,2020-03-13,,0.204271
10104,2020-03-16,,-0.108700
10104,2020-03-17,,0.096910
10104,2020-03-18,,0.008749
10104,2020-03-19,,-0.046541
10104,2020-03-20,,0.012869
10104,2020-03-23,,-0.031983
