Date,	TB3MS,	SP500,	Dividend,	Earnings,	Risk-free
01/10/66	,5.35	,77.13	    ,2.88	,5.52	,1.004352608
01/11/66	,5.32	,80.99	    ,2.88	,5.54	,1.004328771
01/12/66	,4.96	,81.33	    ,2.87	,5.55	,1.004042243
01/01/67	,4.72	,84.45	    ,2.88	,5.52	,1.003850723
01/02/67	,4.56	,87.36	    ,2.89	,5.48	,1.003722819
01/03/67	,4.26	,89.42	    ,2.90	,5.45	,1.003482516
01/04/67	,3.84	,90.96	    ,2.90	,5.41	,1.003145024
01/05/67	,3.6	,92.59	    ,2.90	,5.37	,1.002951609
01/06/67	,3.54	,91.43	    ,2.90	,5.33	,1.002903192
01/07/67	,4.21	,93.01	    ,2.91	,5.32	,1.003442404
01/08/67	,4.27	,94.49	    ,2.91	,5.31	,1.003490536
01/09/67	,4.42	,95.81	    ,2.92	,5.30	,1.003610757
01/10/67	,4.56	,95.66	    ,2.92	,5.31	,1.003722819
01/11/67	,4.73	,92.66	    ,2.92	,5.32	,1.003858711
01/12/67	,4.97	,95.30	    ,2.92	,5.33	,1.004050214
01/01/68	,5	    ,95.04	    ,2.93	,5.37	,1.004074124
01/02/68	,4.98	,90.75	    ,2.94	,5.40	,1.004058185
01/03/68	,5.17	,89.09	    ,2.95	,5.44	,1.004209494
01/04/68	,5.38	,95.67	    ,2.96	,5.48	,1.004376439
01/05/68	,5.66	,97.87	    ,2.98	,5.53	,1.004598558
01/06/68	,5.52	,100.50	    ,2.99	,5.57	,1.004487566
01/07/68	,5.31	,100.30	    ,3.00	,5.60	,1.004320824
01/08/68	,5.09	,98.11	    ,3.02	,5.63	,1.004145815
01/09/68	,5.19	,101.30	    ,3.03	,5.66	,1.004225406
01/10/68	,5.35	,103.80	    ,3.04	,5.69	,1.004352608
01/11/68	,5.45	,105.40	    ,3.06	,5.73	,1.004432019
01/12/68	,5.96	,106.50	    ,3.07	,5.76	,1.004835945
01/01/69	,6.14	,102.00	    ,3.08	,5.78	,1.004978082
01/02/69	,6.12	,101.50	    ,3.09	,5.80	,1.0049623
01/03/69	,6.02	,99.30	    ,3.10	,5.82	,1.004883349
01/04/69	,6.11	,101.30	    ,3.11	,5.83	,1.004954408
01/05/69	,6.04	,104.60	    ,3.12	,5.83	,1.004899145
01/06/69	,6.44	,99.14	    ,3.13	,5.84	,1.005214487
01/07/69	,7	    ,94.71	    ,3.14	,5.86	,1.005654145
01/08/69	,6.98	,94.18	    ,3.14	,5.87	,1.00563848
01/09/69	,7.09	,94.51	    ,3.15	,5.89	,1.005724608
01/10/69	,7	    ,95.52	    ,3.15	,5.85	,1.005654145
01/11/69	,7.24	,96.21	    ,3.16	,5.82	,1.005841925
01/12/69	,7.82	,91.11	    ,3.16	,5.78	,1.006294141
01/01/70	,7.87	,90.31	    ,3.16	,5.73	,1.00633302
01/02/70	,7.13	,87.16	    ,3.17	,5.68	,1.005755907
01/03/70	,6.63	,88.65	    ,3.17	,5.63	,1.005363894
01/04/70	,6.51	,85.95	    ,3.17	,5.59	,1.00526956
01/05/70	,6.84	,76.06	    ,3.18	,5.56	,1.005528744
01/06/70	,6.68	,75.59	    ,3.18	,5.52	,1.005403171
01/07/70	,6.45	,75.72	    ,3.18	,5.47	,1.005222356
01/08/70	,6.41	,77.92	    ,3.19	,5.41	,1.005190874
01/09/70	,6.12	,82.58	    ,3.19	,5.36	,1.0049623
01/10/70	,5.91	,84.37	    ,3.17	,5.28	,1.004796424
01/11/70	,5.28	,84.28	    ,3.16	,5.21	,1.004296979
01/12/70	,4.87	,90.05	    ,3.14	,5.13	,1.00397047
01/01/71	,4.44	,93.49	    ,3.13	,5.16	,1.003626774
01/02/71	,3.7	,97.11	    ,3.12	,5.19	,1.003032249
01/03/71	,3.38	,99.60	    ,3.11	,5.22	,1.002773951
01/04/71	,3.86	,103.00	    ,3.11	,5.25	,1.003161124
01/05/71	,4.14	,101.60	    ,3.10	,5.29	,1.003386217
01/06/71	,4.75	,99.72	    ,3.10	,5.32	,1.003874685
01/07/71	,5.4	,99.00	    ,3.10	,5.36	,1.004392322
01/08/71	,4.94	,97.24	    ,3.09	,5.39	,1.004026298
01/09/71	,4.69	,99.40	    ,3.09	,5.43	,1.003826755
01/10/71	,4.46	,97.29	    ,3.08	,5.52	,1.003642789
01/11/71	,4.22	,92.78	    ,3.08	,5.61	,1.003450428
01/12/71	,4.01	,99.17	    ,3.07	,5.70	,1.003281778
01/01/72	,3.38	,103.30	    ,3.07	,5.74	,1.002773951
01/02/72	,3.2	,105.20	    ,3.07	,5.77	,1.002628337
01/03/72	,3.73	,107.70	    ,3.07	,5.81	,1.003056427
01/04/72	,3.71	,108.80	    ,3.07	,5.86	,1.003040309
01/05/72	,3.69	,107.70	    ,3.07	,5.92	,1.003024188
01/06/72	,3.91	,108.00	    ,3.07	,5.97	,1.00320136
01/07/72	,3.98	,107.20	    ,3.07	,6.03	,1.00325766
01/08/72	,4.02	,111.00	    ,3.08	,6.08	,1.003289816
01/09/72	,4.66	,109.40	    ,3.08	,6.14	,1.00380278
01/10/72	,4.74	,109.60	    ,3.10	,6.23	,1.003866698
01/11/72	,4.78	,115.10	    ,3.13	,6.33	,1.003898641
01/12/72	,5.07	,117.50	    ,3.15	,6.42	,1.004129889
01/01/73	,5.41	,118.40	    ,3.16	,6.55	,1.004400263
01/02/73	,5.6	,114.20	    ,3.16	,6.67	,1.004551007
01/03/73	,6.09	,112.40	    ,3.17	,6.80	,1.004938622
01/04/73	,6.26	,110.30	    ,3.19	,6.94	,1.005072717
01/05/73	,6.36	,107.20	    ,3.20	,7.09	,1.005151505
01/06/73	,7.19	,104.80	    ,3.22	,7.23	,1.005802836
01/07/73	,8.01	,105.80	    ,3.24	,7.38	,1.006441795
01/08/73	,8.67	,103.80	    ,3.25	,7.54	,1.006952858
01/09/73	,8.29	,105.60	    ,3.27	,7.69	,1.006658959
01/10/73	,7.22	,109.80	    ,3.31	,7.85	,1.005826292
01/11/73	,7.83	,102.00	    ,3.34	,8.00	,1.006301918
01/12/73	,7.45	,94.78	    ,3.38	,8.16	,1.006005917
01/01/74	,7.77	,96.11	    ,3.40	,8.23	,1.006255245
01/02/74	,7.12	,93.45	    ,3.42	,8.29	,1.005748083
01/03/74	,7.96	,97.44	    ,3.44	,8.36	,1.006402962
01/04/74	,8.33	,92.46	    ,3.46	,8.49	,1.00668994
01/05/74	,8.23	,89.67	    ,3.48	,8.61	,1.006612467
01/06/74	,7.9	,89.79	    ,3.50	,8.74	,1.00635634
01/07/74	,7.55	,79.31	    ,3.53	,8.86	,1.006083905
01/08/74	,8.96	,76.03	    ,3.56	,8.99	,1.007176517
01/09/74	,8.06	,68.12	    ,3.59	,9.11	,1.006480612
01/10/74	,7.46	,69.44	    ,3.59	,9.04	,1.006013719
01/11/74	,7.47	,71.74	    ,3.60	,8.96	,1.00602152
01/12/74	,7.15	,67.07	    ,3.60	,8.89	,1.005771553
01/01/75	,6.26	,72.56	    ,3.62	,8.74	,1.005072717
01/02/75	,5.5	,80.10	    ,3.65	,8.60	,1.004471699
01/03/75	,5.49	,83.78	    ,3.67	,8.45	,1.004463764
01/04/75	,5.61	,84.72	    ,3.68	,8.29	,1.004558934
01/05/75	,5.23	,90.10	    ,3.70	,8.12	,1.004257223
01/06/75	,5.34	,92.40	    ,3.71	,7.96	,1.004344663
01/07/75	,6.13	,92.49	    ,3.71	,7.89	,1.004970192
01/08/75	,6.44	,85.71	    ,3.71	,7.83	,1.005214487
01/09/75	,6.42	,84.67	    ,3.71	,7.76	,1.005198745
01/10/75	,5.96	,88.57	    ,3.70	,7.83	,1.004835945
01/11/75	,5.48	,90.07	    ,3.69	,7.89	,1.004455829
01/12/75	,5.44	,88.70	    ,3.68	,7.96	,1.004424081
01/01/76	,4.87	,96.86	    ,3.68	,8.19	,1.00397047
01/02/76	,4.88	,100.60	    ,3.69	,8.43	,1.003978448
01/03/76	,5	    ,101.10	    ,3.69	,8.66	,1.004074124
01/04/76	,4.86	,101.90	    ,3.71	,8.86	,1.003962492
01/05/76	,5.2	,101.20	    ,3.74	,9.05	,1.004233362
01/06/76	,5.41	,101.80	    ,3.76	,9.25	,1.004400263
01/07/76	,5.23	,104.20	    ,3.79	,9.35	,1.004257223
01/08/76	,5.14	,103.30	    ,3.82	,9.45	,1.004185619
01/09/76	,5.08	,105.50	    ,3.85	,9.55	,1.004137852
01/10/76	,4.92	,101.90	    ,3.92	,9.67	,1.004010351
01/11/76	,4.75	,101.20	    ,3.98	,9.79	,1.003874685
01/12/76	,4.35	,104.70	    ,4.05	,9.91	,1.003554674
01/01/77	,4.62	,103.80	    ,4.10	,9.97	,1.003770804
01/02/77	,4.67	,101.00	    ,4.14	,10.02	,1.003810772
01/03/77	,4.6	,100.60	    ,4.19	,10.08	,1.003754812
01/04/77	,4.54	,99.05	    ,4.25	,10.19	,1.003706819
01/05/77	,4.96	,98.76	    ,4.30	,10.31	,1.004042243
01/06/77	,5.02	,99.29	    ,4.36	,10.42	,1.00409006
01/07/77	,5.19	,100.20	    ,4.41	,10.52	,1.004225406
01/08/77	,5.49	,97.75	    ,4.45	,10.61	,1.004463764
01/09/77	,5.81	,96.23	    ,4.50	,10.71	,1.004717329
01/10/77	,6.16	,93.74	    ,4.56	,10.77	,1.004993862
01/11/77	,6.1	,94.28	    ,4.61	,10.83	,1.004946515
01/12/77	,6.07	,93.82	    ,4.67	,10.89	,1.004922833
01/01/78	,6.44	,90.25	    ,4.71	,10.90	,1.005214487
01/02/78	,6.45	,88.98	    ,4.76	,10.91	,1.005222356
01/03/78	,6.29	,88.82	    ,4.80	,10.92	,1.005096361
01/04/78	,6.29	,92.71	    ,4.84	,11.02	,1.005096361
01/05/78	,6.41	,97.41	    ,4.87	,11.13	,1.005190874
01/06/78	,6.73	,97.66	    ,4.91	,11.23	,1.005442431
01/07/78	,7.01	,97.19	    ,4.95	,11.34	,1.005661977
01/08/78	,7.08	,103.90	    ,4.98	,11.46	,1.005716782
01/09/78	,7.85	,103.90	    ,5.02	,11.57	,1.00631747
01/10/78	,7.99	,100.60	    ,5.04	,11.82	,1.006426264
01/11/78	,8.64	,94.71	    ,5.05	,12.08	,1.00692969
01/12/78	,9.08	,96.11	    ,5.07	,12.33	,1.007268905
01/01/79	,9.35	,99.71	    ,5.11	,12.65	,1.00747644
01/02/79	,9.32	,98.23	    ,5.16	,12.98	,1.007453404
01/03/79	,9.48	,100.10	    ,5.20	,13.30	,1.007576197
01/04/79	,9.46	,102.10	    ,5.25	,13.53	,1.007560857
01/05/79	,9.61	,99.73	    ,5.29	,13.75	,1.007675845
01/06/79	,9.06	,101.70	    ,5.34	,13.98	,1.007253514
01/07/79	,9.24	,102.70	    ,5.40	,14.20	,1.007391946
01/08/79	,9.52	,107.40	    ,5.45	,14.41	,1.007606869
01/09/79	,10.26	,108.60	    ,5.51	,14.63	,1.008172466
01/10/79	,11.7	,104.50	    ,5.56	,14.71	,1.009263184
01/11/79	,11.79	,103.70	    ,5.60	,14.78	,1.009330925
01/12/79	,12.04	,107.80	    ,5.65	,14.86	,1.009518832
01/01/80	,12	    ,110.90	    ,5.70	,15.00	,1.009488793
01/02/80	,12.86	,115.30	    ,5.75	,15.15	,1.010132483
01/03/80	,15.2	,104.70	    ,5.80	,15.29	,1.011861426
01/04/80	,13.2	,103.00	    ,5.85	,15.17	,1.010385726
01/05/80	,8.58	,107.70	    ,5.89	,15.06	,1.006883336
01/06/80	,7.07	,114.60	    ,5.94	,14.94	,1.005708954
01/07/80	,8.06	,119.80	    ,5.98	,14.84	,1.006480612
01/08/80	,9.13	,123.50	    ,6.03	,14.74	,1.007307373
01/09/80	,10.27	,126.50	    ,6.07	,14.64	,1.008180085
01/10/80	,11.62	,130.20	    ,6.10	,14.70	,1.009202927
01/11/80	,13.73	,135.70	    ,6.13	,14.76	,1.0107791
01/12/80	,15.49	,133.50	    ,6.16	,14.82	,1.012073449
01/01/81	,15.02	,133.00	    ,6.20	,14.74	,1.011729578
01/02/81	,14.79	,128.40	    ,6.24	,14.66	,1.011560831
01/03/81	,13.36	,133.20	    ,6.28	,14.58	,1.010504658
01/04/81	,13.69	,134.40	    ,6.32	,14.72	,1.01074947
01/05/81	,16.3	,131.70	    ,6.35	,14.87	,1.012663079
01/06/81	,14.73	,132.30	    ,6.39	,15.01	,1.011516759
01/07/81	,14.95	,129.10	    ,6.43	,15.10	,1.011678253
01/08/81	,15.51	,129.60	    ,6.48	,15.18	,1.012088054
01/09/81	,14.7	,118.30	    ,6.52	,15.27	,1.011494715
01/10/81	,13.54	,119.80	    ,6.56	,15.30	,1.010638273
01/11/81	,10.86	,122.90	    ,6.59	,15.33	,1.008628509
01/12/81	,10.85	,123.80	    ,6.63	,15.36	,1.008620927
01/01/82	,12.28	,117.30	    ,6.66	,15.18	,1.009698863
01/02/82	,13.48	,114.50	    ,6.69	,14.99	,1.010593756
01/03/82	,12.68	,110.80	    ,6.72	,14.81	,1.00999813
01/04/82	,12.7	,116.30	    ,6.75	,14.60	,1.010013068
01/05/82	,12.09	,116.40	    ,6.78	,14.38	,1.009556368
01/06/82	,12.47	,109.70	    ,6.81	,14.17	,1.009841136
01/07/82	,11.35	,109.40	    ,6.82	,13.97	,1.008999269
01/08/82	,8.68	,109.70	    ,6.84	,13.76	,1.00696058
01/09/82	,7.92	,122.40	    ,6.85	,13.56	,1.006371883
01/10/82	,7.71	,132.70	    ,6.86	,13.25	,1.006208547
01/11/82	,8.07	,138.10	    ,6.86	,12.95	,1.006488374
01/12/82	,7.94	,139.40	    ,6.87	,12.64	,1.006387424
01/01/83	,7.86	,144.30	    ,6.88	,12.57	,1.006325246
01/02/83	,8.11	,146.80	    ,6.90	,12.49	,1.006519413
01/03/83	,8.35	,151.90	    ,6.91	,12.42	,1.006705427
01/04/83	,8.21	,157.70	    ,6.92	,12.48	,1.006596965
01/05/83	,8.19	,164.10	    ,6.93	,12.53	,1.006581459
01/06/83	,8.79	,166.40	    ,6.94	,12.59	,1.007045473
01/07/83	,9.08	,167.00	    ,6.96	,12.83	,1.007268905
01/08/83	,9.34	,162.40	    ,6.98	,13.06	,1.007468762
01/09/83	,9	    ,167.20	    ,7.00	,13.30	,1.007207323
01/10/83	,8.64	,167.70	    ,7.03	,13.54	,1.00692969
01/11/83	,8.76	,165.20	    ,7.06	,13.79	,1.007022328
01/12/83	,9	    ,164.40	    ,7.09	,14.03	,1.007207323
01/01/84	,8.9	,166.40	    ,7.12	,14.44	,1.007130287
01/02/84	,9.09	,157.30	    ,7.15	,14.85	,1.0072766
01/03/84	,9.52	,157.40	    ,7.18	,15.26	,1.007606869
01/04/84	,9.69	,157.60	    ,7.22	,15.57	,1.007737113
01/05/84	,9.83	,156.60	    ,7.27	,15.89	,1.007844234
01/06/84	,9.87	,153.10	    ,7.31	,16.20	,1.007874816
01/07/84	,10.12	,151.10	    ,7.33	,16.32	,1.008065729
01/08/84	,10.47	,164.40	    ,7.36	,16.44	,1.008332339
01/09/84	,10.37	,166.10	    ,7.38	,16.56	,1.008256244
01/10/84	,9.74	,164.80	    ,7.43	,16.59	,1.007775385
01/11/84	,8.61	,166.30	    ,7.48	,16.61	,1.006906516
01/12/84	,8.06	,164.50	    ,7.53	,16.64	,1.006480612
01/01/85	,7.76	,171.60	    ,7.57	,16.56	,1.006247463
01/02/85	,8.27	,180.90	    ,7.62	,16.47	,1.006643464
01/03/85	,8.52	,179.40	    ,7.66	,16.39	,1.006836958
01/04/85	,7.95	,180.60	    ,7.69	,16.13	,1.006395193
01/05/85	,7.48	,184.90	    ,7.71	,15.87	,1.00602932
01/06/85	,6.95	,188.90	    ,7.74	,15.61	,1.005614976
01/07/85	,7.08	,192.50	    ,7.77	,15.48	,1.005716782
01/08/85	,7.14	,188.30	    ,7.81	,15.36	,1.00576373
01/09/85	,7.1	,184.10	    ,7.84	,15.23	,1.005732434
01/10/85	,7.16	,186.20	    ,7.86	,15.02	,1.005779375
01/11/85	,7.24	,197.50	    ,7.88	,14.82	,1.005841925
01/12/85	,7.1	,207.30	    ,7.90	,14.61	,1.005732434
01/01/86	,7.07	,208.20	    ,7.94	,14.58	,1.005708954
01/02/86	,7.06	,219.40	    ,7.98	,14.55	,1.005701126
01/03/86	,6.56	,232.30	    ,8.02	,14.52	,1.005308877
01/04/86	,6.06	,238.00	    ,8.05	,14.58	,1.004914938
01/05/86	,6.15	,238.50	    ,8.07	,14.65	,1.004985972
01/06/86	,6.21	,245.30	    ,8.10	,14.71	,1.005033298
01/07/86	,5.83	,240.20	    ,8.14	,14.76	,1.004733153
01/08/86	,5.53	,245.00	    ,8.19	,14.80	,1.004495498
01/09/86	,5.21	,238.30	    ,8.23	,14.85	,1.004241316
01/10/86	,5.18	,237.40	    ,8.25	,14.73	,1.00421745
01/11/86	,5.35	,245.10	    ,8.26	,14.60	,1.004352608
01/12/86	,5.53	,248.60	    ,8.28	,14.48	,1.004495498
01/01/87	,5.43	,264.50	    ,8.30	,14.69	,1.004416143
01/02/87	,5.59	,280.90	    ,8.32	,14.89	,1.004543079
01/03/87	,5.59	,292.50	    ,8.34	,15.10	,1.004543079
01/04/87	,5.64	,289.30	    ,8.40	,14.87	,1.00458271
01/05/87	,5.66	,289.10	    ,8.46	,14.65	,1.004598558
01/06/87	,5.67	,301.40	    ,8.52	,14.42	,1.004606481
01/07/87	,5.69	,310.10	    ,8.57	,14.90	,1.004622325
01/08/87	,6.04	,329.40	    ,8.61	,15.38	,1.004899145
01/09/87	,6.4	,318.70	    ,8.66	,15.86	,1.005183001
01/10/87	,6.13	,280.20	    ,8.71	,16.41	,1.004970192
01/11/87	,5.69	,245.00	    ,8.76	,16.95	,1.004622325
01/12/87	,5.77	,241.00	    ,8.81	,17.50	,1.004685672
01/01/88	,5.81	,250.50	    ,8.86	,17.86	,1.004717329
01/02/88	,5.66	,258.10	    ,8.90	,18.23	,1.004598558
01/03/88	,5.7	,265.70	    ,8.95	,18.59	,1.004630246
01/04/88	,5.91	,262.60	    ,9.04	,19.62	,1.004796424
01/05/88	,6.26	,256.10	    ,9.14	,20.64	,1.005072717
01/06/88	,6.46	,270.70	    ,9.23	,21.67	,1.005230225
01/07/88	,6.73	,269.10	    ,9.31	,22.02	,1.005442431
01/08/88	,7.06	,263.70	    ,9.38	,22.38	,1.005701126
01/09/88	,7.24	,268.00	    ,9.46	,22.73	,1.005841925
01/10/88	,7.35	,277.40	    ,9.55	,23.07	,1.005927862
01/11/88	,7.76	,271.00	    ,9.64	,23.42	,1.006247463
01/12/88	,8.07	,276.50	    ,9.75	,23.75	,1.006488374
01/01/89	,8.27	,285.40	    ,9.81	,24.16	,1.006643464
01/02/89	,8.53	,294.00	    ,9.90	,24.56	,1.006844689
01/03/89	,8.82	,292.70	    ,10.01	,24.96	,1.007068612
01/04/89	,8.65	,302.30	    ,10.09	,25.05	,1.006937413
01/05/89	,8.43	,313.90	    ,10.19	,25.13	,1.006767347
01/06/89	,8.15	,323.70	    ,10.37	,25.22	,1.006550441
01/07/89	,7.88	,331.90	    ,10.42	,24.71	,1.006340794
01/08/89	,7.9	,346.60	    ,10.55	,24.20	,1.00635634
01/09/89	,7.75	,347.30	    ,10.73	,23.69	,1.006239681
01/10/89	,7.64	,347.40	    ,10.80	,23.43	,1.006154037
01/11/89	,7.69	,340.20	    ,10.92	,23.16	,1.006192976
01/12/89	,7.63	,348.60	    ,11.06	,22.87	,1.006146247
01/01/90	,7.64	,339.97	    ,11.14	,22.49	,1.006154037
01/02/90	,7.74	,330.45	    ,11.23	,22.08	,1.006231899
01/03/90	,7.9	,338.46	    ,11.32	,21.67	,1.00635634
01/04/90	,7.77	,338.18	    ,11.44	,21.53	,1.006255245
01/05/90	,7.74	,350.25	    ,11.55	,21.40	,1.006231899
01/06/90	,7.73	,360.39	    ,11.66	,21.26	,1.006224116
01/07/90	,7.62	,360.03	    ,11.73	,21.42	,1.006138457
01/08/90	,7.45	,330.75	    ,11.78	,21.58	,1.006005917
01/09/90	,7.36	,315.41	    ,11.83	,21.74	,1.005935671
01/10/90	,7.17	,307.12	    ,11.93	,21.61	,1.005787196
01/11/90	,7.06	,315.29	    ,12.01	,21.47	,1.005701126
01/12/90	,6.74	,328.75	    ,12.09	,21.34	,1.005450281
01/01/91	,6.22	,325.49	    ,12.11	,21.18	,1.005041183
01/02/91	,5.94	,362.26	    ,12.11	,21.03	,1.004820139
01/03/91	,5.91	,372.28	    ,12.11	,20.94	,1.004796424
01/04/91	,5.65	,379.68	    ,12.13	,20.36	,1.004590635
01/05/91	,5.46	,377.99	    ,12.14	,19.86	,1.004439957
01/06/91	,5.57	,378.29	    ,12.15	,19.41	,1.004527222
01/07/91	,5.58	,380.23	    ,12.19	,18.84	,1.004535151
01/08/91	,5.33	,389.40	    ,12.24	,18.33	,1.004336718
01/09/91	,5.22	,387.20	    ,12.28	,17.82	,1.00424927
01/10/91	,4.99	,386.88	    ,12.25	,17.20	,1.004066155
01/11/91	,4.56	,385.92	    ,12.23	,16.59	,1.003722819
01/12/91	,4.07	,388.51	    ,12.20	,15.97	,1.003329996
01/01/92	,3.8	,416.08	    ,12.24	,16.05	,1.003112817
01/02/92	,3.84	,412.56	    ,12.28	,16.12	,1.003145024
01/03/92	,4.04	,407.36	    ,12.32	,16.19	,1.00330589
01/04/92	,3.75	,407.41	    ,12.32	,16.48	,1.003072542
01/05/92	,3.63	,414.81	    ,12.32	,16.77	,1.002975809
01/06/92	,3.66	,408.27	    ,12.32	,17.05	,1.003000002
01/07/92	,3.21	,415.05	    ,12.34	,17.38	,1.002636433
01/08/92	,3.13	,417.93	    ,12.37	,17.71	,1.002571646
01/09/92	,2.91	,418.48	    ,12.40	,18.04	,1.002393245
01/10/92	,2.86	,412.50	    ,12.39	,18.39	,1.002352651
01/11/92	,3.13	,422.84	    ,12.38	,18.74	,1.002571646
01/12/92	,3.22	,435.64	    ,12.39	,19.09	,1.002644528
01/01/93	,3	    ,435.23	    ,12.41	,19.34	,1.00246627
01/02/93	,2.93	,441.70	    ,12.45	,19.59	,1.002409478
01/03/93	,2.95	,450.16	    ,12.48	,19.84	,1.002425708
01/04/93	,2.87	,443.08	    ,12.49	,19.67	,1.002360771
01/05/93	,2.96	,445.25	    ,12.51	,19.50	,1.002433822
01/06/93	,3.07	,448.06	    ,12.52	,19.33	,1.002523026
01/07/93	,3.04	,447.29	    ,12.52	,19.69	,1.002498706
01/08/93	,3.02	,454.13	    ,12.52	,20.05	,1.002482489
01/09/93	,2.95	,459.24	    ,12.52	,20.41	,1.002425708
01/10/93	,3.02	,463.90	    ,12.54	,20.90	,1.002482489
01/11/93	,3.1	,462.89	    ,12.56	,21.39	,1.002547339
01/12/93	,3.06	,465.95	    ,12.58	,21.89	,1.00251492
01/01/94	,2.98	,472.99	    ,12.62	,22.16	,1.002450047
01/02/94	,3.25	,471.58	    ,12.67	,22.43	,1.002668809
01/03/94	,3.5	,463.81	    ,12.71	,22.71	,1.002870899
01/04/94	,3.68	,447.23	    ,12.75	,23.54	,1.003016127
01/05/94	,4.14	,450.90	    ,12.80	,24.37	,1.003386217
01/06/94	,4.14	,454.83	    ,12.84	,25.20	,1.003386217
01/07/94	,4.33	,451.40	    ,12.87	,25.91	,1.003538643
01/08/94	,4.48	,464.24	    ,12.90	,26.62	,1.0036588
01/09/94	,4.62	,466.96	    ,12.92	,27.33	,1.003770804
01/10/94	,4.95	,463.81	    ,13.01	,28.42	,1.004034271
01/11/94	,5.29	,461.01	    ,13.10	,29.51	,1.004304928
01/12/94	,5.6	,455.19	    ,13.17	,30.60	,1.004551007
01/01/95	,5.71	,465.25	    ,13.18	,31.25	,1.004638166
01/02/95	,5.77	,481.92	    ,13.18	,31.90	,1.004685672
01/03/95	,5.73	,493.15	    ,13.17	,32.55	,1.004654004
01/04/95	,5.65	,507.91	    ,13.24	,33.18	,1.004590635
01/05/95	,5.67	,523.81	    ,13.31	,33.80	,1.004606481
01/06/95	,5.47	,539.35	    ,13.36	,34.43	,1.004447893
01/07/95	,5.42	,557.37	    ,13.44	,34.68	,1.004408203
01/08/95	,5.4	,559.11	    ,13.51	,34.93	,1.004392322
01/09/95	,5.28	,578.77	    ,13.58	,35.18	,1.004296979
01/10/95	,5.28	,582.92	    ,13.65	,34.77	,1.004296979
01/11/95	,5.36	,595.53	    ,13.72	,34.37	,1.004360552
01/12/95	,5.14	,614.57	    ,13.79	,33.96	,1.004185619
01/01/96	,5	    ,614.42	    ,13.89	,33.99	,1.004074124
01/02/96	,4.83	,649.54	    ,14.00	,34.01	,1.003938553
01/03/96	,4.96	,647.07	    ,14.10	,34.04	,1.004042243
01/04/96	,4.95	,647.17	    ,14.16	,34.33	,1.004034271
01/05/96	,5.02	,661.23	    ,14.21	,34.62	,1.00409006
01/06/96	,5.09	,668.50	    ,14.27	,34.91	,1.004145815
01/07/96	,5.15	,644.07	    ,14.40	,35.27	,1.004193578
01/08/96	,5.05	,662.68	    ,14.53	,35.64	,1.004113959
01/09/96	,5.09	,674.88	    ,14.66	,36.00	,1.004145815
01/10/96	,4.99	,701.46	    ,14.74	,36.91	,1.004066155
01/11/96	,5.03	,735.67	    ,14.82	,37.82	,1.004098027
01/12/96	,4.91	,743.25	    ,14.90	,38.73	,1.004002376
01/01/97	,5.03	,766.22	    ,14.95	,39.23	,1.004098027
01/02/97	,5.01	,798.39	    ,15.01	,39.74	,1.004082092
01/03/97	,5.14	,792.16	    ,15.06	,40.24	,1.004185619
01/04/97	,5.16	,763.93	    ,15.09	,40.34	,1.004201536
01/05/97	,5.05	,833.09	    ,15.13	,40.45	,1.004113959
01/06/97	,4.93	,876.29	    ,15.16	,40.55	,1.004018325
01/07/97	,5.05	,925.29	    ,15.22	,40.58	,1.004113959
01/08/97	,5.14	,927.24	    ,15.27	,40.61	,1.004185619
01/09/97	,4.95	,937.02	    ,15.33	,40.64	,1.004034271
01/10/97	,4.97	,951.16	    ,15.39	,40.33	,1.004050214
01/11/97	,5.14	,938.92	    ,15.44	,40.03	,1.004185619
01/12/97	,5.16	,962.37	    ,15.50	,39.72	,1.004201536
01/01/98	,5.04	,963.36	    ,15.55	,39.66	,1.004105994
01/02/98	,5.09	,1023.74	,15.60	,39.60	,1.004145815
01/03/98	,5.03	,1076.83	,15.64	,39.54	,1.004098027
01/04/98	,4.95	,1112.20	,15.75	,39.35	,1.004034271
01/05/98	,5	    ,1108.42	,15.85	,39.16	,1.004074124
01/06/98	,4.98	,1108.39	,15.95	,38.97	,1.004058185
01/07/98	,4.96	,1156.58	,16.02	,38.68	,1.004042243
01/08/98	,4.9	,1074.62	,16.08	,38.38	,1.003994401
01/09/98	,4.61	,1020.64	,16.14	,38.09	,1.003762809
01/10/98	,3.96	,1032.47	,16.17	,37.96	,1.003241578
01/11/98	,4.41	,1144.43	,16.18	,37.84	,1.003602747
01/12/98	,4.39	,1190.05	,16.20	,37.71	,1.003586725
01/01/99	,4.34	,1248.77	,16.28	,37.93	,1.003546659
01/02/99	,4.44	,1246.58	,16.37	,38.16	,1.003626774
01/03/99	,4.44	,1281.66	,16.45	,38.38	,1.003626774
01/04/99	,4.29	,1334.76	,16.45	,39.26	,1.003506575
01/05/99	,4.5	,1332.07	,16.45	,40.14	,1.003674809
01/06/99	,4.57	,1322.55	,16.45	,41.02	,1.003730819
01/07/99	,4.55	,1380.99	,16.51	,42.00	,1.00371482
01/08/99	,4.72	,1327.49	,16.58	,42.98	,1.003850723
01/09/99	,4.68	,1318.17	,16.64	,43.96	,1.003818764
01/10/99	,4.86	,1300.01	,16.66	,45.36	,1.003962492
01/11/99	,5.07	,1391.00	,16.67	,46.77	,1.004129889
01/12/99	,5.2	,1428.68	,16.69	,48.17	,1.004233362
