Date,	TB3MS,	SP500,	Dividend,	Earnings,	Risk-free
01/07/41	,0.12	,10.26	    ,0.69	,1.12	,1.000099945
01/08/41	,0.13	,10.21	    ,0.70	,1.16	,1.000108269
01/09/41	,0.1	,10.24	    ,0.70	,1.19	,1.000083295
01/10/41	,0.09	,9.83	    ,0.70	,1.18	,1.000074969
01/11/41	,0.28	,9.37	    ,0.71	,1.17	,1.000233034
01/12/41	,0.33	,8.76	    ,0.71	,1.16	,1.000274585
01/01/42	,0.27	,8.93	    ,0.70	,1.12	,1.000224722
01/02/42	,0.25	,8.65	    ,0.70	,1.08	,1.000208095
01/03/42	,0.25	,8.18	    ,0.69	,1.04	,1.000208095
01/04/42	,0.32	,7.84	    ,0.68	,1.02	,1.000266276
01/05/42	,0.37	,7.93	    ,0.67	,1.00	,1.000307812
01/06/42	,0.37	,8.33	    ,0.66	,0.98	,1.000307812
01/07/42	,0.38	,8.64	    ,0.65	,0.97	,1.000316116
01/08/42	,0.38	,8.59	    ,0.63	,0.95	,1.000316116
01/09/42	,0.38	,8.68	    ,0.62	,0.94	,1.000316116
01/10/42	,0.38	,9.32	    ,0.61	,0.97	,1.000316116
01/11/42	,0.38	,9.47	    ,0.60	,1.00	,1.000316116
01/12/42	,0.38	,9.52	    ,0.59	,1.03	,1.000316116
01/01/43	,0.38	,10.09	    ,0.59	,1.04	,1.000316116
01/02/43	,0.38	,10.69	    ,0.59	,1.06	,1.000316116
01/03/43	,0.38	,11.07	    ,0.59	,1.07	,1.000316116
01/04/43	,0.38	,11.44	    ,0.59	,1.08	,1.000316116
01/05/43	,0.38	,11.89	    ,0.59	,1.09	,1.000316116
01/06/43	,0.38	,12.10	    ,0.59	,1.10	,1.000316116
01/07/43	,0.38	,12.35	    ,0.59	,1.09	,1.000316116
01/08/43	,0.38	,11.74	    ,0.60	,1.09	,1.000316116
01/09/43	,0.38	,11.99	    ,0.60	,1.08	,1.000316116
01/10/43	,0.38	,11.88	    ,0.60	,1.03	,1.000316116
01/11/43	,0.38	,11.33	    ,0.61	,0.99	,1.000316116
01/12/43	,0.38	,11.48	    ,0.61	,0.94	,1.000316116
01/01/44	,0.38	,11.85	    ,0.61	,0.94	,1.000316116
01/02/44	,0.38	,11.77	    ,0.62	,0.93	,1.000316116
01/03/44	,0.38	,12.10	    ,0.62	,0.93	,1.000316116
01/04/44	,0.38	,11.89	    ,0.62	,0.93	,1.000316116
01/05/44	,0.38	,12.10	    ,0.63	,0.92	,1.000316116
01/06/44	,0.38	,12.67	    ,0.63	,0.92	,1.000316116
01/07/44	,0.38	,13.00	    ,0.63	,0.91	,1.000316116
01/08/44	,0.38	,12.81	    ,0.64	,0.91	,1.000316116
01/09/44	,0.38	,12.60	    ,0.64	,0.90	,1.000316116
01/10/44	,0.38	,12.91	    ,0.64	,0.91	,1.000316116
01/11/44	,0.38	,12.82	    ,0.64	,0.92	,1.000316116
01/12/44	,0.38	,13.10	    ,0.64	,0.93	,1.000316116
01/01/45	,0.38	,13.49	    ,0.64	,0.94	,1.000316116
01/02/45	,0.38	,13.94	    ,0.65	,0.95	,1.000316116
01/03/45	,0.38	,13.93	    ,0.65	,0.96	,1.000316116
01/04/45	,0.38	,14.28	    ,0.65	,0.97	,1.000316116
