Statistic,Value
E(r^s),1.000804840087042
E(r^b),1.0024897302101057
E(PD),56.11543399335187
E(D/d),1.0933334725288402
sigma_r^s,0.010526557557710113
sigma_PD,9.291256586741506
sigma_D/d,0.11199518197152347
autcorr_PD,1.000156810655136
betaPD,-6.25181444783137e-05
R^2,0.002862568928648772
sigma_r^b,0.0026697897601168914
autcorr_r^s,-0.14449907612039675
